file_path,label,transcript
16a02Lb.wav,boredom, Das will sie am Mittwoch abgeben.
14a07Wc.wav,anger, In sieben Stunden wird es so weit sein.
10a07Ad.wav,fear, Hinsiebe Stunden wird es so weit sein.
13a05Ea.wav,disgust," Das schwarze Blattpapier befindet sich da oben, neben dem Holzstück."
14a05Wa.wav,anger," Das schwarze Blattpapier befindet sich da oben, neben dem Holzstück."
14a07Na.wav,neutral, In sieben Stunden wird es so weit sein.
15a05Wa.wav,anger, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
16b10Wb.wav,anger," Die wird auf dem Platz sein, wo wir sie immerhin legen."
09a01Nb.wav,neutral, Der Lappen liegt auf dem Eischrank.
16a01Fc.wav,happiness, Der Lappen liegt auf dem Eisschrank.
14a04Ed.wav,disgust, Heute Abend könnte ich es ihm sagen.
11a01Ab.wav,fear, Der Lappen liegt auf dem Eisschrank.
09b02Na.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
03a05Nd.wav,neutral, Das schwarze Plattpapier befindet sich da oben neben dem Holzstück.
10a01Ac.wav,fear, Da klappt nicht auf dem Einschrank!
16a04Ab.wav,fear, Heute Abend könnte ich es ihm sagen.
15b02Nd.wav,neutral, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
16b09Wb.wav,anger, Ich will das eben wegbringen und dann mit Kahl was trinken gehen.
11a01Ld.wav,boredom, Der Lappen liegt auf dem Eisschrank.
08a01Wa.wav,anger, Der Lappen liegt auf dem Eisrank.
09b02Wc.wav,anger, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
12b09Td.wav,sadness, Ich will das eben wegbringen und dann mit kral was trinken gehen.
10b02Aa.wav,fear," Sie haben es gerade hochgetragen, jetzt gehen Sie wieder runter."
16a04Tc.wav,sadness, Heute Abend könnte ich es im Sagen.
16b01La.wav,boredom," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
13b01Wa.wav,anger," Was sind denn das Vertüten, die da unter dem Tisch stehen?"
12b01Wa.wav,anger, Was sind denn das für Typen die da unter dem Tisch stehen?
13b03Na.wav,neutral, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Arknis besucht.
12a02Wc.wav,anger, Das will sie ja mitworg abgeben.
16b03Ad.wav,fear, In den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
